Sample,Mass_x,Mass_y,Dist,Dist_plus,Dist_minus,Trans_name
Altamaha_PP48_000107-4_p08,299.114452,299.078068,0.03638400000005504,0.03639400000005504,0.036374000000055036,CH4_O
Altamaha_PP48_000107-4_p08,299.150827,299.114452,0.036374999999964075,0.03638499999996408,0.03636499999996407,CH4_O
Altamaha_PP48_000107-4_p08,301.130149,301.093773,0.036376000000018394,0.0363860000000184,0.03636600000001839,CH4_O
Altamaha_PP48_000107-4_p08,303.124646,303.08827,0.03637599999996155,0.03638599999996155,0.03636599999996155,CH4_O
Altamaha_PP48_000107-4_p08,303.145741,303.109364,0.036376999999959025,0.03638699999995903,0.03636699999995902,CH4_O
Altamaha_PP48_000107-4_p08,304.104719,304.068331,0.0363879999999881,0.0363979999999881,0.036377999999988093,CH4_O
Altamaha_PP48_000107-4_p08,304.119906,304.083521,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
Altamaha_PP48_000107-4_p08,305.06753,305.031158,0.03637199999997165,0.03638199999997165,0.036361999999971646,CH4_O
Altamaha_PP48_000107-4_p08,305.140304,305.103924,0.036380000000008295,0.0363900000000083,0.03637000000000829,CH4_O
Altamaha_PP48_000107-4_p08,307.08321,307.046822,0.0363879999999881,0.0363979999999881,0.036377999999988093,CH4_O
Altamaha_PP48_000107-4_p08,307.155979,307.119607,0.03637200000002849,0.036382000000028496,0.03636200000002849,CH4_O
Altamaha_PP48_000107-4_p08,311.150848,311.114472,0.036376000000018394,0.0363860000000184,0.03636600000001839,CH4_O
Altamaha_PP48_000107-4_p08,312.10976,312.073386,0.0363739999999666,0.0363839999999666,0.0363639999999666,CH4_O
Altamaha_PP48_000107-4_p08,313.076012,313.039633,0.03637900000001082,0.03638900000001082,0.036369000000010816,CH4_O
Altamaha_PP48_000107-4_p08,313.093779,313.0574,0.03637900000001082,0.03638900000001082,0.036369000000010816,CH4_O
Altamaha_PP48_000107-4_p08,313.130158,313.093779,0.03637900000001082,0.03638900000001082,0.036369000000010816,CH4_O
Altamaha_PP48_000107-4_p08,313.166538,313.130158,0.036380000000008295,0.0363900000000083,0.03637000000000829,CH4_O
Altamaha_PP48_000107-4_p08,315.073046,315.036664,0.036382000000003245,0.03639200000000325,0.03637200000000324,CH4_O
Altamaha_PP48_000107-4_p08,318.099192,318.062814,0.036378000000013344,0.03638800000001335,0.03636800000001334,CH4_O
Altamaha_PP48_000107-4_p08,319.155997,319.119611,0.036385999999993146,0.03639599999999315,0.03637599999999314,CH4_O
Altamaha_PP48_000107-4_p08,320.114927,320.078555,0.03637200000002849,0.036382000000028496,0.03636200000002849,CH4_O
Altamaha_PP48_000107-4_p08,321.044777,321.008395,0.036382000000003245,0.03639200000000325,0.03637200000000324,CH4_O
Altamaha_PP48_000107-4_p08,323.041751,323.005375,0.03637599999996155,0.03638599999996155,0.03636599999996155,CH4_O
Altamaha_PP48_000107-4_p08,326.125454,326.089075,0.03637900000001082,0.03638900000001082,0.036369000000010816,CH4_O
Altamaha_PP48_000107-4_p08,327.109481,327.073101,0.036380000000008295,0.0363900000000083,0.03637000000000829,CH4_O
Altamaha_PP48_000107-4_p08,327.145857,327.109481,0.03637599999996155,0.03638599999996155,0.03636599999996155,CH4_O
Altamaha_PP48_000107-4_p08,331.068005,331.031616,0.036389000000042415,0.03639900000004242,0.03637900000004241,CH4_O
Altamaha_PP48_000107-4_p08,331.119665,331.083282,0.03638300000000072,0.03639300000000072,0.03637300000000072,CH4_O
Altamaha_PP48_000107-4_p08,331.12298,331.086596,0.036383999999998196,0.0363939999999982,0.03637399999999819,CH4_O
Altamaha_PP48_000107-4_p08,331.14081,331.10443,0.036380000000008295,0.0363900000000083,0.03637000000000829,CH4_O
Altamaha_PP48_000107-4_p08,333.17175,333.135367,0.03638300000000072,0.03639300000000072,0.03637300000000072,CH4_O
Altamaha_PP48_000107-4_p08,335.07823,335.041854,0.036376000000018394,0.0363860000000184,0.03636600000001839,CH4_O
Altamaha_PP48_000107-4_p08,336.073517,336.037132,0.03638499999999567,0.036394999999995674,0.03637499999999567,CH4_O
Altamaha_PP48_000107-4_p08,341.05243,341.016042,0.0363879999999881,0.0363979999999881,0.036377999999988093,CH4_O
Altamaha_PP48_000107-4_p08,341.071032,341.034642,0.03638999999998305,0.03639999999998305,0.036379999999983044,CH4_O
Altamaha_PP48_000107-4_p08,343.086653,343.050269,0.036383999999998196,0.0363939999999982,0.03637399999999819,CH4_O
Altamaha_PP48_000107-4_p08,343.119752,343.08338,0.03637200000002849,0.036382000000028496,0.03636200000002849,CH4_O
Altamaha_PP48_000107-4_p08,343.213632,343.177243,0.036389000000042415,0.03639900000004242,0.03637900000004241,CH4_O
Altamaha_PP48_000107-4_p08,344.09972,344.063342,0.036378000000013344,0.03638800000001335,0.03636800000001334,CH4_O
Altamaha_PP48_000107-4_p08,345.065938,345.029549,0.036389000000042415,0.03639900000004242,0.03637900000004241,CH4_O
Altamaha_PP48_000107-4_p08,345.120141,345.083764,0.03637700000001587,0.03638700000001587,0.036367000000015866,CH4_O
Altamaha_PP48_000107-4_p08,345.138753,345.102363,0.03638999999998305,0.03639999999998305,0.036379999999983044,CH4_O
Altamaha_PP48_000107-4_p08,346.115433,346.079045,0.0363879999999881,0.0363979999999881,0.036377999999988093,CH4_O
Altamaha_PP48_000107-4_p08,347.099359,347.062983,0.036376000000018394,0.0363860000000184,0.03636600000001839,CH4_O
Altamaha_PP48_000107-4_p08,347.117959,347.081584,0.036374999999964075,0.03638499999996408,0.03636499999996407,CH4_O
Altamaha_PP48_000107-4_p08,349.130293,349.09392,0.036372999999969124,0.03638299999996913,0.03636299999996912,CH4_O
Altamaha_PP48_000107-4_p08,351.073183,351.036802,0.036380999999948926,0.03639099999994893,0.03637099999994892,CH4_O
Altamaha_PP48_000107-4_p08,353.104184,353.067798,0.036385999999993146,0.03639599999999315,0.03637599999999314,CH4_O
Altamaha_PP48_000107-4_p08,356.099834,356.063448,0.036385999999993146,0.03639599999999315,0.03637599999999314,CH4_O
Altamaha_PP48_000107-4_p08,357.12014,357.083769,0.036370999999974174,0.03638099999997418,0.03636099999997417,CH4_O
Altamaha_PP48_000107-4_p08,357.171831,357.135441,0.03638999999998305,0.03639999999998305,0.036379999999983044,CH4_O
Altamaha_PP48_000107-4_p08,359.078335,359.041963,0.03637199999997165,0.03638199999997165,0.036361999999971646,CH4_O
