Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_PP48_000107-2_p08
446.094024093796,17,23,11,0,1,0,1,0,CHOP,Lignin,447.101300560676,-0.330196927628368,7,3200580.5
446.101963106014,17,22,13,0,1,0,0,0,CHO,Tannin,447.109239572894,0.349038651106905,5,3073095
446.109249117227,21,21,10,1,0,0,0,0,CHON,Lignin,447.116525584107,0.0454382501751691,6,2494025.3
446.117370129726,21,22,10,0,1,0,0,0,CHO,Lignin,447.124646596606,0.011559179416243,7,3775051.8
446.120460134482,18,26,10,0,1,1,0,0,CHOS,Lignin,447.127736601362,0.63959807256304,5,1637196.8
446.130350149703,18,27,10,0,1,0,1,0,CHOP,Lignin,447.137626616583,-0.197212395844347,7,4300368
446.138440162153,18,26,12,0,1,0,0,0,CHO,Lignin,447.145716629033,0.14426743733181,5,1854034.4
446.154033186151,22,26,9,0,1,0,0,0,CHO,Lignin,447.161309653031,-0.609135284381715,7,2390103.3
446.166848205874,19,31,9,0,1,0,1,0,CHOP,Protein,447.174124672754,-0.448887677594302,6,2980443.3
446.190147241732,23,30,8,0,1,0,0,0,CHO,Lignin,447.197423708612,-0.00208188225316206,6,2248290.5
447.020514928885,19,12,13,0,0,0,0,0,CHO,ConHC,448.027791395765,-0.00206073056845048,6,4697953.5
447.033428708416,16,17,13,0,0,0,1,0,CHOP,Tannin,448.040705175296,-0.0625664045822705,10,3194213.5
447.041644303496,16,16,15,0,0,0,0,0,CHO,Tannin,448.048920770376,-0.00206512263890755,8,1633640.1
447.056900438648,20,16,12,0,0,0,0,0,CHO,Lignin,448.064176905528,-0.0020682938373172,8,19331948
447.069959009367,17,21,12,0,0,0,1,0,CHOP,Tannin,448.077235476247,-0.385707938713357,11,6194032.5
447.07802981326,17,20,14,0,0,0,0,0,CHO,Tannin,448.08530628014,-0.00207268544820101,8,5866355
447.087845714487,28,16,6,0,0,0,0,0,CHO,ConHC,448.095122181367,-0.968399666248801,10,3361654
447.093285948412,21,20,11,0,0,0,0,0,CHO,Lignin,448.100562415292,-0.00207585600477186,6,22023032
447.096597878216,18,24,11,0,0,1,0,0,CHOS,Lignin,448.103874345096,0.129341448717923,8,2087032.6
447.1063153972,18,25,11,0,0,0,1,0,CHOP,Lignin,448.11359186408,-0.320696543191886,11,10830716
447.114415323024,18,24,13,0,0,0,0,0,CHO,Tannin,448.121691789904,-0.00208024715620896,7,5302142
447.124177525778,29,20,5,0,0,0,0,0,CHO,ConHC,448.131453992658,-0.848501381159062,9,5368705
447.129671458176,22,24,10,0,0,0,0,0,CHO,Lignin,448.136947925056,-0.00208341745161429,5,21683074
447.132258872083,21,25,7,2,0,0,1,0,CHONP,Lignin,448.139535338963,0.897797684654813,7,1955715.5
447.134441343153,19,30,8,0,0,0,2,0,CHOP,Protein,448.141717810033,-0.283058299335715,9,4123524
447.142822554568,19,29,10,0,0,0,1,0,CHOP,Protein,448.150099021448,-0.592122032723136,10,12182407
447.150800832788,19,28,12,0,0,0,0,0,CHO,Lignin,448.158077299668,-0.00208780789003752,6,2610569
447.160550703272,30,24,4,0,0,0,0,0,CHO,Lignin,448.167827170152,-0.82092316678061,7,3729292
447.166056967941,23,28,9,0,0,0,0,0,CHO,Lignin,448.173333434821,-0.00209097779751934,4,17431438
447.179115838498,20,33,9,0,0,0,1,0,CHOP,Protein,448.186392305378,-0.386306190644341,7,5991313.5
447.202442477705,24,32,8,0,0,0,0,0,CHO,Lignin,448.209718944585,-0.00209853704275513,3,9472921
447.215443478943,21,37,8,0,0,0,1,0,CHOP,Protein,448.222719945823,-0.257174206988977,7,1716124.5
447.238810481167,25,36,7,0,0,0,0,0,CHO,Lignin,448.246086948047,0.0369490178186522,3,2081699.6
448.052042257339,19,15,12,1,0,0,0,0,CHON,ConHC,449.059318724219,0.236556011167357,10,2527381.5
448.06018033128,19,16,12,0,1,0,0,0,CHO,Lignin,449.06745679816,0.164826996945151,8,4018327.8
448.088723590618,20,19,11,1,0,0,0,0,CHON,Lignin,449.096000057498,-0.4221798852159,9,4027552.3
448.096698663078,20,20,11,0,1,0,0,0,CHO,Lignin,449.103975129958,-0.130943079803443,7,5078178.5
448.109675780985,17,25,11,0,1,0,1,0,CHOP,Lignin,449.116952247865,-0.332328727316728,7,2826918.3
448.125118921298,21,23,10,1,0,0,0,0,CHON,Lignin,449.132395388178,-0.444019804248844,8,3033258.8
448.133111993922,21,24,10,0,1,0,0,0,CHO,Lignin,449.140388460802,-0.192883125220619,6,4787373
448.146141112302,18,29,10,0,1,0,1,0,CHOP,Protein,449.153417579182,-0.510025021909942,6,2222769
448.161601252769,22,27,9,1,0,0,0,0,CHON,Lignin,449.168877719649,-0.659548922412564,6,2503861.5
448.169465324221,22,28,9,0,1,0,0,0,CHO,Lignin,449.176741791101,-0.121234239558667,6,4322488
448.182357441356,19,33,9,0,1,0,1,0,CHOP,Protein,449.189633908236,-0.133356229426779,7,1993403.6
448.205674653211,23,32,8,0,1,0,0,0,CHO,Lignin,449.212951120091,0.27096660565424,4,2620610.5
448.983300180036,29,7,2,0,0,1,1,0,CHOSP,ConHC,449.990576646916,-0.311068771094504,8,1901474.9
449.036165185072,19,14,13,0,0,0,0,0,CHO,ConHC,450.043441651952,-0.00247809934903618,7,13561266
449.049242288207,16,19,13,0,0,0,1,0,CHOP,Tannin,450.056518755087,-0.425608515161917,11,3941813.8
449.054771184799,20,18,10,0,0,1,0,0,CHOS,Lignin,450.062047651679,0.0440764127818219,9,1966007.3
449.066913995244,27,14,7,0,0,0,0,0,CHO,ConHC,450.074190462124,-0.528041884523257,11,1747642.6
449.072550694839,20,18,12,0,0,0,0,0,CHO,Lignin,450.079827161719,-0.00248560132008845,8,28433852
449.075751293304,17,22,12,0,0,1,0,0,CHOS,Tannin,450.083027760184,0.375711158455077,11,1990589.1
449.085757935273,17,23,12,0,0,0,1,0,CHOP,Tannin,450.093034402153,-0.714715909860782,10,6408640
449.093680069452,17,22,14,0,0,0,0,0,CHO,Tannin,450.100956536332,-0.00248995733687195,8,2631106.3
449.103311363117,28,18,6,0,0,0,0,0,CHO,ConHC,450.110587829997,-0.554351760709818,9,3184069
449.108936204606,21,22,11,0,0,0,0,0,CHO,Lignin,450.116212671486,-0.00249310207828487,6,30801350
449.122054122589,18,27,11,0,0,0,1,0,CHOP,AminoSugar,450.129330589469,-0.516228676650328,11,8230346.5
449.139689456026,29,22,5,0,0,0,0,0,CHO,ConHC,450.146965922906,-0.537838137358713,8,3250127.5
449.145321714372,22,26,10,0,0,0,0,0,CHO,Lignin,450.152598181252,-0.00250060162391954,5,28909008
449.158369018321,19,31,10,0,0,0,1,0,CHOP,Protein,450.165645485201,-0.359332397845437,9,6491604.5
449.173974263398,0,0,0,0,0,0,0,0,,None,450.181250730278,0,6,2375129
449.181707224139,23,30,9,0,0,0,0,0,CHO,Lignin,450.188983691019,-0.00250809983102079,3,19578332
449.19465343163,20,35,9,0,0,0,1,0,CHOP,Protein,450.20192989851,-0.134753108748778,7,3021791
449.218092733906,24,34,8,0,0,0,0,0,CHO,Lignin,450.225369200786,-0.00251559682616862,3,6601189.5
450.039456649055,18,14,13,0,1,0,0,0,CHO,ConHC,451.046733115935,0.13803129466413,8,2355403.3
450.067860020059,19,17,12,1,0,0,0,0,CHON,Lignin,451.075136486939,-0.136276273730569,9,3882707
450.07585584299,19,18,12,0,1,0,0,0,CHO,Lignin,451.08313230987,0.107676227312455,9,5331669
450.104455209653,20,21,11,1,0,0,0,0,CHON,Lignin,451.111731676533,-0.601079763469653,9,3926749
450.112352034777,20,22,11,0,1,0,0,0,CHO,Lignin,451.119628501657,-0.137689767041022,6,5922527
450.125718738769,17,27,11,0,1,0,1,0,CHOP,AminoSugar,451.132995205649,-1.20174772149178,8,2313955
450.140557410164,21,25,10,1,0,0,0,0,CHON,Lignin,451.147833877044,0.0269349748067164,6,3546855
450.148689230084,21,26,10,0,1,0,0,0,CHO,Lignin,451.155965696964,-0.030595991553406,6,7382761
450.184974426543,22,30,9,0,1,0,0,0,CHO,Lignin,451.192250893423,0.191728197397485,4,4564723
451.015429931498,18,12,14,0,0,0,0,0,CHO,ConHC,452.022706398378,-0.00288432082143228,7,2550740.3
451.02868215549,15,17,14,0,0,0,1,0,CHOP,Tannin,452.03595862237,-0.811566565122194,12,1736663.8
451.033959802602,19,16,11,0,0,1,0,0,CHOS,Lignin,452.041236269482,0.211877171322691,11,1962457.3
451.04365752926,19,17,11,0,0,0,1,0,CHOP,Lignin,452.05093399614,-0.190459379111048,12,1996507.8
451.051815441262,19,16,13,0,0,0,0,0,CHO,Tannin,452.059091908142,-0.00289175108882837,8,23093214
451.066891294058,23,16,10,0,0,0,0,0,CHO,ConHC,452.074167760938,0.395894467188092,5,2802402
451.070071153769,20,20,10,0,0,1,0,0,CHOS,Lignin,452.077347620649,0.818294375753659,9,1796578.9
451.080435177986,23,22,2,2,0,1,2,0,CHONSP,UnsatHC,452.087711644866,0.0221769653892478,7,2442725.8
451.088200951026,20,20,12,0,0,0,0,0,CHO,Lignin,452.095477417906,-0.00289918016022016,7,36954088
451.101281721023,17,25,12,0,0,0,1,0,CHOP,Tannin,452.108558187903,-0.432219650085792,11,4184555.3
451.116700054574,21,25,9,0,0,0,1,0,CHOP,Lignin,452.123976521454,-0.790955738273453,6,4279279.5
451.12458646079,21,24,11,0,0,0,0,0,CHO,Lignin,452.13186292767,-0.00290660765872711,6,38928368
451.137654031,18,29,11,0,0,0,1,0,CHOP,AminoSugar,452.14493049788,-0.402998833857372,11,4082165
451.15284550655,22,29,8,0,0,0,1,0,CHOP,Lignin,452.16012197343,-0.259986947642495,9,4932601
451.160971970553,22,28,10,0,0,0,0,0,CHO,Lignin,452.168248437433,-0.0029140337104419,4,32448508
451.173957930162,19,33,10,0,0,0,1,0,CHOP,Protein,452.181234397042,-0.222492075998924,9,3254270.5
451.189330087373,23,33,7,0,0,0,1,0,CHOP,Lignin,452.196606554253,-0.479062093274785,5,3928066.8
451.197357480317,23,32,9,0,0,0,0,0,CHO,Lignin,452.204633947197,-0.00292145831571376,3,14753797
451.210441481562,20,37,9,0,0,0,1,0,CHOP,Protein,452.217717948442,-0.439283633708552,6,2014216.3
451.233587483766,24,36,8,0,0,0,0,0,CHO,Protein,452.240863950646,0.340928400646036,3,3158030.5
452.047085956199,18,17,11,0,1,0,1,0,CHOP,Lignin,453.054362423079,-0.352466486259325,8,2066659.9
452.055168092838,18,16,13,0,1,0,0,0,CHO,Tannin,453.062444559718,0.00194009120041117,8,4161766
452.083419570463,22,22,2,2,1,1,2,0,CHONSP,UnsatHC,453.090696037343,0.839724277218992,9,4309229.5
452.091631709299,19,20,12,0,1,0,0,0,CHO,Lignin,453.098908176179,-0.170451037349501,6,7317743.5
452.119951188074,20,25,9,0,1,0,1,0,CHOP,Lignin,453.127227654954,-0.560340977949528,8,5202166.5
452.128098325811,20,24,11,0,1,0,0,0,CHO,Lignin,453.135374792691,-0.349435069219831,6,8591609
452.156339803267,21,29,8,0,1,0,1,0,CHOP,Lignin,453.163616270147,-0.567156404169823,5,3038464.3
452.164437940176,21,28,10,0,1,0,0,0,CHO,Lignin,453.171714407056,-0.248138734789405,4,7762178
452.200865556028,22,32,9,0,1,0,0,0,CHO,Lignin,453.208142022908,-0.34103316746414,3,3238667.5
453.031080187386,18,14,14,0,0,0,0,0,CHO,ConHC,454.038356654266,-0.00329369981527008,8,8681951
453.046336322535,22,14,11,0,0,0,0,0,CHO,ConHC,454.053612789415,-0.0032967800152531,5,4162018.8
453.049544998188,19,18,11,0,0,1,0,0,CHOS,Lignin,454.056821465068,0.353801165121903,10,2171363.5
453.059607797729,19,19,11,0,0,0,1,0,CHOP,Lignin,454.066884264609,-0.850759265147632,10,3169766
453.067465697142,19,18,13,0,0,0,0,0,CHO,Tannin,454.074742164022,-0.00330104589329656,8,32997864
453.08269469996,23,18,10,0,0,0,0,0,CHO,ConHC,454.08997116684,0.0564468761003989,5,4625900
