Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
124.123051,1335844.4,0,0,0,0,0,0,0,0,0,0,124.122997462412,124.123006761231,125.130283228111,9.87,760055,0.00644825828475659,92
124.126738,1421076.9,0,0,0,0,0,0,0,0,0,0,124.12668444971,124.12668444971,125.13396091659,10.66,364750.2,0.00685968432678328,93
124.13782,1120974.6,0,0,0,0,0,0,0,0,0,0,124.13776641153,124.13776641153,125.14504287841,7.88,628410.1,0.00541105966492183,94
124.171143,1027379.7,0,0,0,0,0,0,0,0,0,0,124.171089296699,124.171089296699,125.178365763579,7.01,663272.3,0.00495926745818281,95
124.19321,1096703.1,0,0,0,0,0,0,0,0,0,0,124.193156220636,124.193156220636,125.200432687516,7.65,571571.5,0.00529389863856392,96
124.22139,1167571.5,0,0,0,0,0,0,0,0,0,0,124.221336123478,124.221359447358,125.228635914238,8.31,618960.4,0.00563598769281862,97
124.222708,1142451.6,0,0,0,0,0,0,0,0,0,0,124.222654118933,124.222654118933,125.229930585813,8.08,1036704,0.00551473135241906,98
124.236786,1043045.9,0,0,0,0,0,0,0,0,0,0,124.236732070385,124.236732070385,125.244008537265,7.16,664817.4,0.00503488981655078,99
124.238804,1127918.1,0,0,0,0,0,0,0,0,0,0,124.238750063425,124.238750063425,125.246026530305,7.94,695361.7,0.00544457665342753,100
124.242157,1310902.6,0,0,0,0,0,0,0,0,0,0,124.242103051861,124.242113891292,125.249390358172,9.64,673665,0.00632786165137119,101
124.265942,1409930.4,0,0,0,0,0,0,0,0,0,0,124.265887969818,124.265887969818,125.273164436698,10.56,646855.6,0.0068058790250797,102
124.337583,1058469.6,0,0,0,0,0,0,0,0,0,0,124.337528722588,124.337528722588,125.344805189468,7.3,909898.3,0.00510934160248229,103
124.462002,1109161.5,0,0,0,0,0,0,0,0,0,0,124.461947292812,124.461947292812,125.469223759692,7.77,681947.2,0.00535403661647123,104
