Mass,Abundance,C,H,O,N,C13,S,P,Na,Error_ppm,Candidates,CalMass,AlignMasses,NeutralMass,sn,resolution,rel_abu,peak_index
111.922685,1063433.9,0,0,0,0,0,0,0,0,0,0,111.92242667709,111.92242667709,112.92970314397,7.38,1126359.7,0.00667882814406897,33
111.924045,1028837.8,0,0,0,0,0,0,0,0,0,0,111.923786674007,111.923786674007,112.931063140887,7.06,755833.7,0.00646154956534864,34
111.932479,1022413.4,0,0,0,0,0,0,0,0,0,0,111.932220654892,111.932220654892,112.939497121772,7,932340.1,0.00642120153475759,35
112.078955,1029959.4,0,0,0,0,0,0,0,0,0,0,112.078696322897,112.078696322897,113.085972789777,7.07,692787.6,0.00646859370193897,36
112.176491,1029319.4,0,0,0,0,0,0,0,0,0,0,112.176232101817,112.176232101817,113.183508568697,7.06,938171.2,0.00646457422314277,37
112.408976,1078234.3,0,0,0,0,0,0,0,0,0,0,112.408716574825,112.408716574825,113.415993041705,7.52,896697.7,0.00677178110340521,38
112.422574,1066205.8,0,0,0,0,0,0,0,0,0,0,112.422314544,112.422314544,113.42959101088,7.41,929330.8,0.00669623688356143,39
112.70579,1108787.1,0,0,0,0,0,0,0,0,0,0,112.70552990195,112.70552990195,113.71280636883,7.8,931527,0.00696366599678703,40
113.656012,1074180.8,0,0,0,0,0,0,0,0,0,0,113.655749747314,113.655749747314,114.663026214194,7.48,960629.7,0.00674632335762338,41
113.731388,1045202.7,0,0,0,0,0,0,0,0,0,0,113.731125576366,113.731125576366,114.738402043246,7.21,893396.8,0.00656432826621088,42
114.154053,1107680.1,0,0,0,0,0,0,0,0,0,0,114.153789617696,114.153789617696,115.161066084576,7.79,929329.7,0.00695671355455674,43
114.971726,1244705.1,0,0,0,0,0,0,0,0,0,0,114.971460762638,114.971460762638,115.978737229518,9.07,753143.3,0.00781729024525754,44
114.974592,1023689.1,0,0,0,0,0,0,0,0,0,0,114.974326756135,114.974326756135,115.981603223015,7.01,842087.3,0.00642921348647682,45
115.377452,1028292.5,0,0,0,0,0,0,0,0,0,0,115.377185841941,115.377185841941,116.384462308821,7.06,1047974,0.00645812484380557,46
115.53077,1053363.3,0,0,0,0,0,0,0,0,0,0,115.530503493984,115.530503493984,116.537779960864,7.29,899640,0.00661558038912373,47
115.821559,1104065.8,0,0,0,0,0,0,0,0,0,0,115.821291833973,115.821291833973,116.828568300853,7.76,914452.7,0.00693401417609879,48
115.843868,1086701.6,0,0,0,0,0,0,0,0,0,0,115.843600783335,115.843600783335,116.850877250215,7.6,603862.7,0.00682495943592242,49
116.436278,1155090,0,0,0,0,0,0,0,0,0,0,116.436009438467,116.436009438467,117.443285905347,8.24,719747.6,0.0072544683792125,50
116.547124,1094962.6,0,0,0,0,0,0,0,0,0,0,116.54685518679,116.54685518679,117.55413165367,7.68,955191.6,0.00687684211457143,51
116.804639,1121492.6,0,0,0,0,0,0,0,0,0,0,116.804369602055,116.804369602055,117.811646068935,7.92,593662.4,0.00704346207154491,52
116.840131,1067653,0,0,0,0,0,0,0,0,0,0,116.839861521459,116.839861521459,117.847137988339,7.42,791731.4,0.00670532592998932,53
116.916934,1028285.8,0,0,0,0,0,0,0,0,0,0,116.916664347049,116.916664347049,117.923940813929,7.06,1086282.6,0.00645808276488692,54
117.587213,1088456.8,0,0,0,0,0,0,0,0,0,0,117.586941824673,117.586941824673,118.594218291553,7.62,829933.7,0.00683598285652099,55
117.781754,1047941.2,0,0,0,0,0,0,0,0,0,0,117.781482382736,117.781482382736,118.788758849616,7.24,826336,0.00658152723915366,56
118.267749,1044794.9,0,0,0,0,0,0,0,0,0,0,118.267476278534,118.267476278534,119.274752745414,7.21,749066,0.00656176710456543,57
118.846129,1029024.3,0,0,0,0,0,0,0,0,0,0,118.845854964107,118.845854964107,119.853131430987,7.06,863207.2,0.00646272086659159,58
118.943924,1084436.5,0,0,0,0,0,0,0,0,0,0,118.943649741823,118.943649741823,119.950926208703,7.58,834347.6,0.00681073362120171,59
119.359736,1176008.1,0,0,0,0,0,0,0,0,0,0,119.359460796584,119.359460796584,120.366737263464,8.43,880082.6,0.00738584315953543,60
119.532163,1031129.1,0,0,0,0,0,0,0,0,0,0,119.531887404561,119.531887404561,120.539163871441,7.08,847065.3,0.00647593992748257,61
119.883855,1137973.3,0,0,0,0,0,0,0,0,0,0,119.883578604868,119.883578604868,120.890855071748,8.08,621460.8,0.00714696804685185,62
120.071393,1045800.9,0,0,0,0,0,0,0,0,0,0,120.071116178379,120.071116178379,121.078392645259,7.22,690288,0.0065680852227982,63
120.182629,1071184.1,0,0,0,0,0,0,0,0,0,0,120.182351925394,120.182351925394,121.189628392274,7.45,531542.3,0.00672750277620376,64
120.460695,1034171.3,0,0,0,0,0,0,0,0,0,0,120.460417292924,120.460417292924,121.467693759804,7.11,822694.8,0.00649504626872286,65
120.614737,1030382.6,0,0,0,0,0,0,0,0,0,0,120.614458942513,120.614458942513,121.621735409393,7.07,793123.4,0.00647125158229295,66
120.676282,1147099.3,0,0,0,0,0,0,0,0,0,0,120.676003802505,120.676003802505,121.683280269385,8.16,842226.9,0.00720428330231133,67
120.860186,1041657.5,0,0,0,0,0,0,0,0,0,0,120.859907384116,120.859907384116,121.867183850996,7.18,893418.4,0.00654206286585422,68
121.720119,1042069.6,0,0,0,0,0,0,0,0,0,0,121.719838427213,121.719838427213,122.727114894093,7.18,908996.5,0.00654465103337283,69
121.878415,1045925.3,0,0,0,0,0,0,0,0,0,0,121.878134066892,121.878134066892,122.885410533772,7.22,529630.6,0.00656886650898921,70
122.119134,1065918.3,0,0,0,0,0,0,0,0,0,0,122.118852518899,122.118852518899,123.126128985779,7.4,820441.6,0.00669443125832095,71
123.845798,1113143.8,0,0,0,0,0,0,0,0,0,0,123.845512586098,123.845512586098,124.852789052978,7.83,702300.4,0.00699102797064856,72
124.064386,1122000.3,0,0,0,0,0,0,0,0,0,0,124.064100087956,124.064100087956,125.071376554836,7.92,636306.2,0.00704665064870871,73
