molecular formula,Altamaha_PP48_000107-4_p08
C(13)12H18O7,5368680.5
C(13)13H22O6,2094453.5
C14H8O7,2066867.6
C11H12O7S,2914484.8
C11H13O7P,2599096.3
C11H12O9,13359291.0
C15H12O6,6388929.0
C12H16O6S,3623106.0
C12H17O6P,3992261.5
C12H16O8,29411528.0
C16H16O5,5607630.0
C13H20O5S,1414607.1
C13H21O5P,3390162.5
C13H20O7,12603605.0
C17H20O4,2386139.0
C14H25O4P,1723103.8
C14H24O6,3264738.8
C14H11O6N,2048552.4
C(13)11H17O6P,1712688.0
C(13)11H16O8,3648563.0
C15H15O5N,2187317.5
C(13)12H21O5P,1943101.1
C(13)12H20O7,2626112.3
C10H11O8P,1296004.1
C14H10O7,8924044.0
C11H14O7S,3631501.8
C13H10O6N2,1540752.6
C11H15O7P,4848529.0
C11H14O9,9139092.0
C15H14O6,14033818.0
C12H18O6S,2512282.8
C14H14O5N2,1704349.8
C12H19O6P,7762846.5
C12H18O8,8561569.0
C16H18O5,8831911.0
C13H23O5P,4174251.5
C13H22O7,3633070.5
C17H22O4,3492788.0
C13H9O7N,2400501.3
C(13)13H10O7,1681656.1
C14H13O6N,3357442.3
C(13)14H14O6,2463493.3
C(13)11H19O6P,1915402.0
C15H17O5N,2206479.5
C(13)15H18O5,1426450.5
C13H8O8,5764698.5
C10H12O8S,1772891.5
C10H13O8P,2933343.0
C13H13O2N2SP,1293666.1
C14H12O7,18308712.0
C11H16O7S,1909352.8
C13H12O6N2,2596971.5
C11H17O7P,6671980.0
C11H16O9,1835375.1
C14H18ON2P2,2310002.8
C15H16O6,21237364.0
C14H16O5N2,2168952.8
C12H21O6P,5351033.5
C16H20O5,11363970.0
C13H25O5P,1499782.6
C17H24O4,2795151.0
C15H32O3S,2146973.5
C15H33O3P,12486305.0
C13H11O7N,3384273.0
C(13)13H12O7,2370004.0
C14H15O6N,3885022.3
C(13)14H16O6,2219489.3
C15H19O5N,1273067.5
C(13)15H20O5,1616366.6
C13H10O6S,1252912.6
C13H10O8,11884855.0
C10H14O8S,1689656.3
C10H15O8P,2198843.8
C14H14O5S,1329469.9
C14H15O5P,1320513.4
C13H16O2N2P2,1706818.3
C14H14O7,27390276.0
C13H14O6N2,2223432.5
C11H19O7P,5652809.0
C14H20ON2P2,1529423.6
C15H18O6,32825682.0
C14H18O5N2,1471829.6
C12H23O6P,2534742.3
C16H22O5,9433439.0
C17H26O4,138436976.0
C14H30O4S,7985517.0
C(13)13H15O5P,4358830.5
C(13)13H14O7,3251377.8
C14H17O6N,3638972.0
C(13)14H18O6,5011135.0
C(13)15H22O5,1504460.1
C(13)16H26O4,19481306.0
C12H8O9,1975304.0
C13H12O6S,1637390.9
C13H12O8,22623254.0
C12H12O7N2,1429785.4
C10H17O8P,1637402.1
C14H16O5S,1531932.1
C13H18O2N2P2,1258784.6
C14H16O7,45417508.0
C13H16O6N2,2050086.8
C11H21O7P,2327847.3
C15H20O6,38708272.0
C16H24O5,5421117.0
C12H11O8N,2235008.3
C(13)12H12O8,2381699.3
C13H15O7N,4679053.5
C(13)13H16O7,6201744.5
C14H19O6N,1804698.9
C(13)14H20O6,6093214.0
C(13)15H24O5,1686443.1
C10H4O7P2,1874118.9
C12H10O7S,1364449.0
C12H10O9,7069415.5
C16H10O6,1579245.0
C13H14O6S,1867502.3
C13H15O6P,1545201.9
C13H14O8,38962932.0
C12H14O7N2,1663736.9
C14H18O5S,2950907.5
C14H18O7,53577476.0
C13H18O6N2,1281414.1
C18H18O4,1470727.6
C15H22O6,23889680.0
C16H26O3S,14681878.0
C16H26O5,2312988.8
C(13)12H15O6P,3363424.3
C(13)12H14O8,5155939.0
C13H17O7N,4166765.5
C(13)13H18O7,8141936.5
C(13)14H22O6,3835005.8
C(13)15H26O3S,2525316.5
C15H8O7,1860032.0
C12H12O7S,3032513.3
C12H13O7P,2263492.8
C12H12O9,22923720.0
C16H12O6,3364301.3
C13H16O6S,2814926.5
C13H17O6P,3272146.0
C13H16O8,60221908.0
C17H16O5,2652122.5
C14H20O5S,2497499.8
C14H21O5P,3723231.3
C14H20O7,37882340.0
C18H20O4,1633767.9
C15H24O6,8978928.0
C16H28O5,1472252.9
C17H32O4,1405962.3
C(13)11H13O7P,1310643.5
C(13)11H12O9,3255606.5
C15H11O6N,1275833.1
C(13)12H17O6P,3125568.8
C(13)12H16O8,7168836.0
C(13)13H21O5P,2571598.0
C(13)13H20O7,6024017.0
C11H10O8S,1676948.8
C11H10O10,2104731.3
C15H10O7,5389473.0
C12H14O7S,3957922.0
C12H15O7P,3847333.5
C12H14O9,29322408.0
C15H16ON2P2,1628332.1
C16H14O6,7303342.0
C13H18O6S,3064495.3
C13H19O6P,7262387.0
C13H18O8,33320118.0
C17H18O5,4923579.5
C14H23O5P,6018240.0
C14H22O7,11039939.0
C18H22O4,1861832.8
C15H26O6,3579600.5
C14H9O7N,2063628.8
C(13)11H14O9,3938327.5
C15H13O6N,2819610.0
C(13)15H14O6,1673501.0
C(13)12H19O6P,1917985.8
C(13)12H18O8,5315108.5
C(13)16H18O5,1331242.3
C(13)13H22O7,1447474.0
C14H8O8,3116916.5
C11H12O8S,2018677.8
C11H13O8P,3019641.3
C11H12O10,3574140.3
C22H8O2,1485951.8
C15H12O7,12894082.0
C12H16O7S,3975043.0
C14H12O6N2,1529734.0
C12H17O7P,9133959.0
C12H16O9,12574602.0
C15H18ON2P2,2894221.0
C16H16O6,13672335.0
C13H20O6S,2655632.3
C13H21O6P,10332052.0
C13H20O8,7923607.0
C17H20O5,7712668.5
C14H25O5P,5572513.0
C14H24O7,3296676.3
C18H24O4,2932137.8
C14H11O7N,3788013.8
C(13)14H12O7,1682416.6
C(13)11H16O7S,1580785.9
C(13)11H17O7P,1366773.4
C(13)11H16O9,1285624.4
C15H15O6N,3902203.0
C(13)15H16O6,2245374.0
C(13)12H21O6P,2190082.8
C16H19O5N,1485064.3
C(13)16H20O5,1549067.3
C14H10O8,13040213.0
C11H14O8S,2428758.8
C13H10O7N2,1546585.5
C11H15O8P,6370906.0
C11H14O10,2200157.0
C22H10O2,2720864.5
C15H14O7,24732258.0
C12H18O7S,3218020.0
C14H14O6N2,2896998.8
C12H19O7P,11625063.0
C12H18O9,2118506.5
C15H20ON2P2,2882158.0
C16H18O6,22508144.0
C13H22O6S,1882737.3
C15H18O5N2,1657716.1
C13H23O6P,6890101.0
C17H22O5,9738877.0
C14H27O5P,3127938.0
C18H26O4,1821834.6
C15H31O4P,2811023.5
