Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_SW48_000107-3_p08
318.098371871428,16,17,6,1,0,0,0,0,CHON,Lignin,319.105648338308,-0.191331016958005,2,2409765.3
318.106414785302,16,18,6,0,1,0,0,0,CHO,Lignin,319.113691252182,0.00594151122737407,1,2033448
318.119532644833,13,23,6,0,1,0,1,0,CHOP,Protein,319.126809111713,-0.718501255399367,2,3297068.3
318.127651557894,13,22,8,0,1,0,0,0,CHO,AminoSugar,319.134928024774,-0.330593628649241,0,1455151.1
318.142830395356,17,22,5,0,1,0,0,0,CHO,Lignin,319.150106862236,-0.0883839156863763,1,1488436.3
318.228604476888,16,35,3,0,1,0,1,0,CHOP,Lipid,319.235880943768,-0.45297592325795,2,2175057.3
318.23832237283,0,0,0,0,0,0,0,0,,None,319.24559883971,0,0,6649684.5
318.745512035381,0,0,0,0,0,0,0,0,,None,319.752788502261,0,0,2165761
319.009554006383,14,8,9,0,0,0,0,0,CHO,ConHC,320.016830473263,0.00431988790459686,4,2916955
319.022611215209,11,13,9,0,0,0,1,0,CHOP,Tannin,320.029887682089,-0.528562785744422,4,2620511.5
319.045939508707,15,12,8,0,0,0,0,0,CHO,Lignin,320.053215975587,0.00433181945675823,4,16387175
319.049277827384,12,16,8,0,0,1,0,0,CHOS,Tannin,320.056554294264,0.105875462362727,2,1737832.6
319.057189732523,14,12,7,2,0,0,0,0,CHON,Lignin,320.064466199403,-0.0482687231295392,4,1728107.3
319.05895425813,12,17,8,0,0,0,1,0,CHOP,Tannin,320.06623072501,-0.395832166835698,4,9872492
319.067068879001,12,16,10,0,0,0,0,0,CHO,Tannin,320.074345345881,0.00433874010037999,3,4037742.8
319.076774045085,15,18,2,2,0,0,2,0,CHONP,Lignin,320.084050511965,0.93831740379926,2,3945586
319.082325011036,16,16,7,0,0,0,0,0,CHO,Lignin,320.089601477916,0.00434373337911152,3,19221620
319.085667436858,13,20,7,0,0,1,0,0,CHOS,Protein,320.092943903738,0.0930447308216987,1,2239605
319.093676061098,15,16,6,2,0,0,0,0,CHON,Lignin,320.100952527978,-0.363233465920107,3,2696311.8
319.095397765336,13,21,7,0,0,0,1,0,CHOP,Protein,320.102674232216,-0.576981796463339,2,16079992
319.103454381332,13,20,9,0,0,0,0,0,CHO,AminoSugar,320.110730848212,0.00435064374856252,2,3011707
