molecular formula,Altamaha_SW48_000107-2_p08
C(13)12H14O8,4910716.5
C(13)13H19O5P,3347590.5
C(13)13H18O7,6134409.0
C(13)14H22O6,2887830.0
C(13)15H26O3S,5693084.5
C15H8O7,1428940.8
C12H12O7S,2505166.0
C12H13O7P,1544145.4
C12H12O9,24347604.0
C16H12O6,2806745.5
C13H16O6S,2260442.8
C13H17O6P,3205086.3
C13H16O8,49906656.0
C17H16O5,2124774.5
C14H20O5S,1348839.6
C14H21O5P,3775467.0
C14H20O7,28734446.0
C18H20O4,1576435.3
C15H24O6,7814138.5
C(13)11H12O9,2633783.0
C(13)12H17O6P,2612545.0
C(13)12H16O8,6549828.0
C(13)13H21O5P,2169677.8
C(13)13H20O7,4244816.5
C(13)14H24O6,1454941.6
C11H10O8S,1609867.0
C11H11O8P,1992334.5
C11H10O10,2555537.3
C15H10O7,4379287.0
C12H14O7S,3235992.0
C12H15O7P,3141787.5
C12H14O9,31925918.0
C16H14O6,5724836.0
C13H18O6S,2002341.0
C13H19O6P,6455976.5
C13H18O8,30607020.0
C17H18O5,3412144.8
C14H23O5P,6405813.5
C14H22O7,9354936.0
C18H22O4,1671613.6
C15H26O6,3259077.3
C14H9O7N,1644793.5
C(13)11H15O7P,1750273.0
C(13)11H14O9,4277252.0
C15H13O6N,1620230.5
C(13)15H14O6,1687817.4
C(13)12H19O6P,2353678.0
C(13)12H18O8,4054033.0
C(13)13H23O5P,1954075.0
C(13)13H22O7,1554974.0
C14H8O8,3260249.8
C11H12O8S,1963354.9
C11H13O8P,2683230.3
C11H12O10,4584801.0
C14H14O2N2P2,1449316.8
C15H12O7,9603431.0
C12H16O7S,2974568.0
C12H17O7P,7197035.5
C12H16O9,13537646.0
C15H18ON2P2,2478449.8
C16H16O6,8755572.0
C13H20O6S,2080117.0
C13H21O6P,10023288.0
C13H20O8,7628155.5
C17H20O5,5095809.0
C14H25O5P,5795205.5
C14H24O7,2148232.3
C18H24O4,1261965.9
C14H11O7N,2462412.5
C(13)11H17O7P,1629396.0
C(13)11H16O9,1627095.0
C15H15O6N,2762457.5
C(13)15H16O6,1651420.5
C(13)12H21O6P,1979617.1
C(13)12H20O8,1311460.0
C14H10O8,11854896.0
C11H14O8S,2106928.8
C11H15O8P,5888052.0
C11H14O10,2216247.3
C15H14O7,17759292.0
C12H18O7S,1304382.0
C14H14O6N2,1490240.9
C12H19O7P,10226753.0
C12H18O9,2497092.3
C15H20ON2P2,3382855.8
C16H18O6,15219786.0
C13H22O6S,1616459.1
C15H18O5N2,1409102.0
C13H23O6P,7199822.5
C17H22O5,6473815.0
C14H27O5P,3115099.8
C15H31O4P,1367017.0
C13H9O8N,1931928.4
C(13)13H10O8,2082459.3
C14H13O7N,3840421.5
C(13)14H14O7,2952616.5
C(13)11H19O7P,1494957.3
C15H17O6N,2716594.8
C(13)15H18O6,2243509.8
C(13)12H23O6P,1348282.4
C(13)16H22O5,1489858.9
C13H8O9,3310334.5
C10H13O9P,2255875.3
C21H8O3,2020873.8
C14H12O8,23035660.0
C11H16O8S,1773325.0
C13H12O7N2,2183952.0
C11H17O8P,6292240.5
C14H18O2N2P2,3878679.0
C15H16O7,31022874.0
C12H20O7S,1604634.4
C14H16O6N2,2695453.3
C12H21O7P,7676702.0
C23H16O,2503972.3
C16H20O6,21913382.0
C13H25O6P,2922283.0
C17H24O5,6556467.5
C14H29O5P,1475384.4
C15H32O4S,5898050.0
C15H33O4P,1576261.8
C13H11O8N,2926199.8
C(13)13H12O8,3480698.8
C14H15O7N,4018821.3
C(13)14H16O7,4077704.3
C15H19O6N,1973394.5
C(13)15H20O6,3657365.5
C(13)16H24O5,1568930.9
C13H10O9,11063777.0
C10H15O9P,1805286.1
C21H10O3,2033644.6
C14H14O8,34107888.0
C13H14O7N2,2257907.0
C11H19O8P,3737075.5
C14H20O2N2P2,2036218.0
C15H18O7,42693116.0
C14H18O6N2,1439360.3
C12H23O7P,2607105.0
C16H22O6,19067402.0
C17H26O3S,1457936.4
C17H26O5,4147735.0
C14H30O5S,6084120.0
C(13)12H10O9,1941587.6
C13H13O8N,3542878.0
C(13)13H14O8,3890529.0
C14H17O7N,3844971.5
C(13)14H18O7,6108014.5
C15H21O6N,1536633.0
C(13)15H22O6,2761084.0
C13H12O7S,2374852.3
C13H13O7P,1506120.0
C13H12O9,21918922.0
