molecular formula,Altamaha_PP48_000107-3_p08
C11H13O7P,2691083.3
C11H12O9,12649998.0
C15H12O6,8082963.0
C12H16O6S,4620820.0
C14H12O5N2,1447958.6
C12H17O6P,5169687.0
C12H16O8,32820762.0
C16H16O5,6027807.0
C13H21O5P,4255779.5
C13H20O7,16377382.0
C17H20O4,2978859.0
C14H25O4P,2000431.4
C14H24O6,2750002.0
C(13)10H12O9,1666137.5
C14H11O6N,2581852.0
C(13)14H12O6,1586782.6
C(13)11H17O6P,1637474.9
C(13)11H16O8,4195685.5
C15H15O5N,1950055.9
C(13)12H21O5P,1578350.8
C(13)12H20O7,2078577.5
C10H10O8S,1725331.8
C10H11O8P,1502358.8
C14H10O7,9834654.0
C11H14O7S,3366047.5
C13H10O6N2,1784994.1
C11H15O7P,7092386.5
C11H14O9,6651045.5
C14H16ON2P2,1746088.5
C15H14O6,13936810.0
C12H18O6S,3051179.5
C14H14O5N2,2372782.0
C12H19O6P,10160303.0
C12H18O8,7707825.5
C16H18O5,9263286.0
C13H23O5P,5879994.5
C13H22O7,2169533.0
C17H22O4,3006146.0
C13H9O7N,2963938.0
C(13)13H10O7,1414884.8
C14H13O6N,4534766.0
C(13)14H14O6,2495472.5
C(13)11H19O6P,1902068.8
C(13)11H18O8,1325559.4
C15H17O5N,2091513.6
C(13)15H18O5,1744892.3
C13H8O6S,1279513.9
C13H8O8,4986655.5
C10H12O8S,1739808.6
C10H13O8P,3098915.8
C13H13O2N2SP,1331494.5
C13H14O2N2P2,2164521.5
C14H12O7,21037868.0
C11H16O7S,3344172.3
C13H12O6N2,2985774.8
C11H17O7P,10640175.0
C11H16O9,1388594.0
C14H18ON2P2,2618165.3
C15H16O6,23950134.0
C12H20O6S,2114872.0
C14H16O5N2,2252858.5
C12H21O6P,7890747.0
C12H20O8,1779261.8
C16H20O5,12778307.0
C13H25O5P,1368902.9
C17H24O4,2851150.3
C15H33O3P,14498654.0
C13H11O7N,4133993.8
C(13)13H12O7,3264620.5
C14H15O6N,4637813.5
C(13)14H16O6,3507320.0
C(13)11H21O6P,1673852.3
C15H19O5N,1592705.1
C(13)15H20O5,1746051.6
C13H10O6S,1694877.0
C13H10O8,11664803.0
C10H14O8S,1445539.8
C10H15O8P,2925478.8
C14H14O5S,1314984.5
C13H16O2N2P2,2819500.5
C14H14O7,28767662.0
C11H18O7S,2163631.3
C13H14O6N2,3082673.8
C11H19O7P,6476210.5
C14H20ON2P2,2301624.0
C15H18O6,34620856.0
C14H18O5N2,1470909.3
C12H23O6P,2494909.8
C16H22O5,10794437.0
C17H26O4,151315920.0
C12H9O8N,1744860.9
C13H13O7N,5347048.5
C(13)13H14O7,3612906.8
C14H17O6N,3848947.8
C(13)14H18O6,5352182.5
C(13)15H22O5,1693441.8
C(13)16H26O4,21006094.0
C12H8O9,1556753.5
C13H12O6S,2457623.3
C20H8O3,1504539.1
C13H12O8,24868892.0
C12H12O7N2,2271776.5
C10H17O8P,2123809.0
C14H16O5S,1575714.6
C13H18O2N2P2,1409062.5
C14H16O7,46352424.0
C13H16O6N2,2742827.8
C11H21O7P,2172460.3
C15H20O6,42543156.0
C16H24O5,5748799.0
C12H11O8N,3504467.3
C(13)12H12O8,3609941.8
C13H15O7N,6311262.5
C(13)13H16O7,6551905.0
C14H19O6N,2806633.8
C(13)14H20O6,5741932.5
C12H10O7S,2223230.8
C12H10O9,6881924.0
C13H14O6S,2729098.0
C13H15O6P,1432076.9
C13H14O8,44444304.0
C12H14O7N2,1725586.9
C17H14O5,1601428.1
C14H18O5S,2330773.3
C14H19O5P,2218136.3
C14H18O7,58641052.0
C13H18O6N2,2064542.1
C18H18O4,1294239.4
C15H22O6,25492134.0
C16H26O3S,11082412.0
C16H26O5,3024561.3
C(13)12H15O6P,4651970.0
C(13)12H14O8,5682116.5
C(13)13H19O5P,4763597.5
C(13)13H18O7,7947216.0
C14H21O6N,1414872.6
C(13)14H22O6,4032475.0
C(13)15H26O3S,2348000.8
C15H8O7,1819369.6
C12H12O7S,2992362.8
C12H13O7P,1855981.6
C12H12O9,21613808.0
C16H12O6,3880692.8
C13H16O6S,3199221.8
C13H17O6P,3740920.8
C13H16O8,61762812.0
C12H16O7N2,1298942.8
C17H16O5,2528512.0
C14H20O5S,1590528.9
C14H21O5P,4848900.0
C14H20O7,39365896.0
C15H24O6,9098514.0
C(13)11H12O9,3443234.5
C15H11O6N,2635300.8
C(13)15H12O6,1401383.3
C(13)12H17O6P,4525611.0
C(13)12H16O8,7685677.5
C16H15O5N,2136367.8
C(13)13H21O5P,3020342.3
C(13)13H20O7,5908024.5
C(13)14H24O6,1525571.9
C11H10O8S,2037574.0
C11H10O10,2116939.5
C15H10O7,6733648.0
C12H14O7S,4684625.0
C12H15O7P,4467540.0
C12H14O9,31977302.0
C15H16ON2P2,1621081.4
C16H14O6,8017755.0
C13H18O6S,3417436.0
C13H19O6P,9443167.0
C13H18O8,38563680.0
C17H18O5,5225318.0
C14H22O5S,1684327.1
C14H23O5P,8188778.0
C14H22O7,14606188.0
C18H22O4,2383729.3
C15H26O6,2735479.5
C14H9O7N,2343037.5
C(13)14H10O7,1440384.0
C(13)11H15O7P,1278084.0
C(13)11H14O9,3525766.5
C15H13O6N,3296392.5
C(13)15H14O6,1665675.0
C(13)12H19O6P,2288783.0
C(13)12H18O8,5358737.5
C16H17O5N,1698451.6
C(13)13H23O5P,2074266.0
C(13)13H22O7,2309788.5
C14H8O8,3378086.8
C11H12O8S,2730919.8
C11H13O8P,3173290.8
C11H12O10,2791341.3
C22H8O2,2103984.0
C15H12O7,15163826.0
C12H16O7S,4371891.0
C14H12O6N2,2345909.3
C12H17O7P,11643318.0
C12H16O9,13509048.0
C15H18ON2P2,3689915.0
C16H16O6,14260669.0
C13H20O6S,2650557.8
C15H16O5N2,2001856.1
C13H21O6P,13468097.0
C13H20O8,8185283.0
C17H20O5,7841223.5
C14H25O5P,8530380.0
C14H24O7,2526670.0
C18H24O4,2481106.8
C14H11O7N,4831965.5
C(13)14H12O7,2478816.0
C11H16O7NP,1598945.5
C(13)11H17O7P,1968867.9
C15H15O6N,3860200.5
C(13)15H16O6,1938154.9
C(13)12H21O6P,2795246.8
C16H19O5N,1329907.4
C(13)16H20O5,1392117.8
C(13)13H25O5P,1538041.8
C14H10O8,12768261.0
C11H14O8S,2539526.0
C11H15O8P,6822921.0
C11H14O10,1519883.4
C22H10O2,3894286.3
C15H14O7,24167440.0
C12H18O7S,3545105.0
C14H14O6N2,3676691.5
C12H19O7P,15504404.0
C12H18O9,2020886.4
C23H14O,4505625.5
C16H18O6,21431322.0
C13H22O6S,1468956.0
C15H18O5N2,1997598.4
C13H23O6P,8848415.0
C17H22O5,9987110.0
C14H27O5P,3032617.8
C18H26O4,1960496.8
C13H9O8N,2070319.5
C(13)13H10O8,2128178.0
C(13)10H15O8P,1422389.9
C14H13O7N,6533434.5
C(13)14H14O7,3771196.8
C(13)11H19O7P,1512256.6
C15H17O6N,4469061.5
C(13)15H18O6,3380039.8
C(13)12H23O6P,1561419.6
C(13)16H22O5,2297938.5
C13H8O9,2878038.0
C10H13O9P,1782361.9
C14H12O6S,2028379.6
C13H14O3N2P2,2446687.3
C14H12O8,30004832.0
C11H16O8S,2781794.0
C13H12O7N2,3568740.3
C11H17O8P,8687205.0
C14H18O2N2P2,5543530.0
C15H16O7,44447340.0
C12H20O7S,2184300.8
C14H16O6N2,4229231.0
C12H21O7P,9764464.0
C23H16O,2840181.0
C16H20O6,35272312.0
C13H25O6P,2532986.5
C17H24O5,9717378.0
C14H29O5P,1779077.5
C13H11O8N,4629386.5
C(13)13H12O8,4027277.0
C14H15O7N,7301013.5
C(13)14H16O7,6180760.0
C(13)11H21O7P,1648283.6
C15H19O6N,4318624.0
C(13)15H20O6,5425058.5
C(13)16H24O5,1760429.5
C13H10O7S,1512107.1
C13H10O9,10985648.0
C13H16ON2SP2,2126516.5
C14H14O6S,2283190.0
C13H16O3N2P2,2965689.8
C14H14O8,43817148.0
C13H14O7N2,3685054.8
C11H19O8P,4043967.3
C14H20O2N2P2,2789572.5
C15H18O7,65353928.0
C14H18O6N2,2321097.5
C12H23O7P,2790090.0
C23H18O,1352143.4
C16H22O6,29739218.0
C17H26O5,6699228.0
C(13)12H10O9,1342684.1
C20H9ONS,1326813.4
C13H13O8N,5207524.5
C(13)13H14O8,5438951.0
C14H17O7N,6925807.5
C(13)14H18O7,7894514.0
C15H21O6N,1837562.3
C(13)15H22O6,4361724.5
C13H12O7S,3553541.3
C13H12O9,24607498.0
C12H12O8N2,1649933.9
C17H12O6,2107151.0
C14H16O6S,2515216.0
C14H17O6P,2346771.0
C14H16O8,64961300.0
C13H16O7N2,2609944.8
C11H21O8P,1704729.3
C18H16O5,1738265.9
C15H20O5S,2843419.0
C15H21O5P,1723165.8
C15H20O7,64043808.0
C14H20O6N2,1615139.6
C16H24O6,12911403.0
C17H28O3S,27487024.0
C12H11O9N,1868339.9
C(13)12H12O9,2547766.3
C(13)13H17O6P,6125631.0
C(13)13H16O8,7742529.0
C(13)14H21O5P,3769417.8
C(13)14H20O7,8524876.0
C(13)15H24O6,2401367.0
C(13)16H28O3S,3749980.5
C12H10O8S,2081109.0
C12H10O10,3598682.3
C16H10O7,2282334.8
C13H14O7S,3748191.8
C17H15O2SP,1353826.0
C13H15O7P,3098466.8
C13H14O9,40779108.0
C17H14O6,3107177.8
C14H18O6S,2862954.8
C14H19O6P,6307181.5
C14H18O8,61963632.0
C13H18O7N2,1785971.4
C18H18O5,2493300.8
C15H22O5S,1591925.8
C15H23O5P,3227000.5
C15H22O7,29171066.0
C16H26O6,3971461.8
C(13)12H15O7P,2840207.3
C(13)12H14O9,5313170.0
C16H13O6N,1352851.9
C(13)13H19O6P,4640410.5
C(13)13H18O8,8380060.5
C(13)14H23O5P,1960101.1
C(13)14H22O7,3743399.8
C15H8O8,1969584.4
C12H12O8S,3644849.5
C12H13O8P,2593716.3
C12H12O10,11460535.0
C15H14O2N2P2,1704377.8
C16H12O7,6886331.5
C13H16O7S,3746748.3
C15H12O6N2,1793470.8
C13H17O7P,7473087.0
C13H16O9,38322112.0
C16H18ON2P2,1808324.6
C17H16O6,7078854.0
C14H20O6S,2856391.3
C14H21O6P,14268362.0
C14H20O8,29454284.0
C18H20O5,3406801.3
C15H24O5S,2031058.3
C15H25O5P,2555349.0
C15H24O7,8241111.5
C19H24O4,1936604.1
C(13)11H12O10,1579492.6
C15H11O7N,3440870.8
C(13)15H12O7,1396969.1
C(13)12H17O7P,2706669.0
C(13)12H16O9,5151983.5
C16H15O6N,2442481.8
C(13)13H21O6P,3745016.0
C(13)13H20O8,4704506.5
C(13)14H24O7,1533445.5
C17H36O2NP,9290018.0
C11H10O9S,1321989.6
C15H10O8,9363984.0
C12H14O8S,4097552.8
C12H15O8P,6339091.5
C12H14O10,11420182.0
C23H10O2,2834457.0
C16H14O7,15950363.0
C13H18O7S,4208155.5
C15H14O6N2,2959390.0
C13H19O7P,19825182.0
C13H18O9,15491617.0
C10H22O9S,1348642.0
C24H14O,5801508.0
C17H18O6,12616230.0
C14H22O6S,2212390.5
C14H23O6P,20619818.0
C14H22O8,8024620.0
C18H22O5,9771569.0
C15H26O5S,1381169.5
C15H27O5P,2224692.5
C15H26O7,1562167.0
C19H26O4,2283067.5
C17H35O3P,3715146.5
C14H9O8N,2715452.8
C(13)14H10O8,1852991.1
C(13)11H14O8S,1594944.3
C(13)11H15O8P,1407043.3
C(13)11H14O10,2114885.5
C15H13O7N,4546376.0
C(13)15H14O7,3354442.3
C12H18O7NP,1729867.8
C(13)12H19O7P,3630414.3
C(13)12H18O9,2532176.8
C16H17O6N,2925394.8
C(13)16H18O6,2769237.3
C(13)13H23O6P,4671321.0
C(13)17H22O5,1889120.3
C14H8O9,2632807.5
C11H12O9S,1556072.6
C11H13O9P,3356779.5
C15H12O6S,1561197.3
C14H14O3N2P2,2654321.0
C15H12O8,26342514.0
C12H16O8S,4355187.5
C14H12O7N2,3888246.0
C12H17O8P,14662775.0
C(13)14H13O7N,1348728.5
C12H16O10,3485305.0
C23H12O2,6714492.0
C16H16O7,29647998.0
C13H20O7S,3889278.8
C15H16O6N2,4114561.3
C13H21O7P,23278722.0
C13H20O9,3334276.3
C24H16O,8047751.0
C17H20O6,23721096.0
C14H24O6S,1638281.8
C16H20O5N2,1744268.3
C14H25O6P,15606925.0
C18H24O5,12590228.0
C15H29O5P,1472151.8
C19H28O4,1953951.0
C17H37O3P,34464944.0
C14H11O8N,4690338.0
C(13)14H12O8,3599780.5
C(13)11H17O8P,1777064.5
C15H15O7N,6365613.5
C(13)15H16O7,4943279.5
C12H20O7NP,1437361.3
C(13)12H21O7P,3746739.8
C16H19O6N,3661240.3
C(13)16H20O6,4703675.0
C(13)13H25O6P,1882046.8
C(13)17H24O5,2719686.0
C14H10O7S,2080714.0
C14H10O9,12885711.0
C11H15O9P,5794515.5
C15H14O6S,1595861.1
C14H16O3N2P2,4821721.0
C15H14O8,39143132.0
C12H18O8S,3380955.8
C14H14O7N2,4825822.0
C12H19O8P,13465311.0
C16H19O5P,1764323.3
C15H20O2N2P2,6639332.0
C16H18O7,46745316.0
C15H18O6N2,4202217.5
C13H23O7P,10522346.0
C24H18O,4542191.5
C17H22O6,28120816.0
C14H27O6P,5126901.0
C18H26O5,9025276.0
C(13)13H10O9,2114564.3
C14H13O8N,7608333.0
C(13)14H14O8,6014991.5
C(13)11H19O8P,1777939.4
C(13)15H19O5P,6781976.0
C(13)15H18O7,7215130.5
C(13)12H23O7P,2313758.8
C16H21O6N,2882083.3
C(13)16H22O6,5085222.0
C(13)17H26O5,1641265.1
C13H8O10,1648434.0
C14H12O7S,3568951.8
C21H8O4,1460539.5
C14H12O9,33777980.0
C13H12O8N2,2988864.8
C11H17O9P,4607297.5
C18H12O6,1448258.0
C15H16O6S,2331459.0
C14H18O3N2P2,4473159.0
C15H16O8,69568840.0
C14H16O7N2,5222732.0
C12H21O8P,6419788.5
C15H22O2N2P2,3761490.3
C16H20O7,70224208.0
C15H20O6N2,2501975.3
C13H25O7P,3622743.8
C17H24O6,24533344.0
C14H29O6P,3795299.3
C18H28O5,3694954.5
C13H11O9N,3209842.8
C(13)13H12O9,4468341.5
C14H15O8N,9030270.0
C(13)14H16O8,9413249.0
C15H19O7N,6138505.5
C(13)15H20O7,10881676.0
C16H23O6N,1536916.9
C(13)16H24O6,3816087.5
C13H10O8S,2393505.0
C13H10O10,7523238.5
C17H10O7,2019755.5
C14H14O7S,3293100.5
C14H15O7P,2771375.5
C21H10O4,1945264.3
C14H14O9,56691636.0
C13H14O8N2,3077557.5
C11H19O9P,1891254.3
C18H14O6,2419638.8
C15H18O6S,2700216.0
C15H19O6P,4842427.0
C15H18O8,104238016.0
C14H18O7N2,3776961.0
C12H23O8P,1449153.6
C19H18O5,1624002.4
C16H22O5S,2437059.3
C16H23O5P,2900934.5
C16H22O7,54799304.0
C13H27O7P,1500109.0
C17H26O6,11637716.0
C18H30O3S,28273626.0
C(13)13H15O7P,5822699.5
C(13)13H14O9,7496942.0
C17H13O6N,1811440.4
C(13)14H19O6P,7582967.0
C(13)14H18O8,12709114.0
C(13)15H23O5P,4011266.5
C(13)15H22O7,7888133.0
C(13)16H26O6,1946384.6
