Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
217.107984984437,10,18,5,0,0,0,0,0,CHO,Protein,218.115261451317,0.743813074887937,1,3738546.3,Altamaha_PP48_000107-3_p08,2.0,-3.0,0.0,0.0,0.5,1.8,0.0,0.0,0.0,0.0,-0.8,83.1,0.5,218.0,0.01228,0.28185,1.463,0.30078,0.10339,0.21078,0.17498611631490718,C10H18O5,UAAs,Aliphatic-like,Lipid
219.029862706452,11,8,5,0,0,0,0,0,CHO,ConHC,220.037139173332,0.155400893450081,1,2042102.4,Altamaha_PP48_000107-3_p08,8.0,3.0,0.5,0.64706,0.45455,0.72727,0.0,0.0,0.0,0.0,0.18182,55.11818,0.45455,220.0,0.08284,0.2139,1.5464,0.23299,0.03385,0.1422,0.19153473358004708,C11H8O5,PPAs,Polyphenol-like,POCs
219.066139663866,12,12,4,0,0,0,0,0,CHO,Lignin,220.073416130746,0.64861470461184,1,3606519.8,Altamaha_PP48_000107-3_p08,7.0,3.0,0.375,0.5,0.33333,1.0,0.0,0.0,0.0,0.0,-0.33333,69.8,0.33333,220.0,0.04108,0.25571,1.50492,0.27481,0.07563,0.184,0.1585955653254169,C12H12O4,PPAs,Polyphenol-like,POCs
219.102564621122,13,16,3,0,0,0,0,0,CHO,Lignin,220.109841088002,0.469274328949521,1,1471737.1,Altamaha_PP48_000107-3_p08,6.0,3.0,0.3,0.3913,0.23077,1.23077,0.0,0.0,0.0,0.0,-0.76923,82.22308,0.23077,220.0,0.00067,0.29752,1.46345,0.31662,0.1174,0.22579,0.13532334540142985,C13H16O3,PUCs,Lignin-like,POCs
220.061350501522,11,11,4,1,0,0,0,0,CHON,Lignin,221.068626968402,0.818199761921087,1,1246624.1,Altamaha_PP48_000107-3_p08,7.0,3.0,0.33333,0.5,0.36364,1.0,0.09091,0.0,inf,0.0,0.0,60.3,0.45455,221.0,0.05319,0.24494,1.5236,0.26412,0.06405,0.1729,0.1859967890011518,C11H11O4N,PPAs,Polyphenol-like,Not Matched
221.0090444053,10,6,6,0,0,0,0,0,CHO,ConHC,222.01632087218,0.527227095109674,1,1147082.4,Altamaha_PP48_000107-3_p08,8.0,2.0,0.5,0.71429,0.6,0.6,0.0,0.0,0.0,0.0,0.6,43.2,0.6,222.0,0.11124,0.18816,1.58792,0.20742,0.00649,0.11581,0.23073968680871354,C10H6O6,PAs,Cond. aromatic-like,POCs
221.045438363408,11,10,5,0,0,0,0,0,CHO,Lignin,222.052714830288,0.489078513458675,1,5002316.0,Altamaha_PP48_000107-3_p08,7.0,2.0,0.33333,0.52941,0.45455,0.90909,0.0,0.0,0.0,0.0,0.0,60.3,0.45455,222.0,0.06949,0.22997,1.54645,0.24923,0.04827,0.15761,0.18456145058063844,C11H10O5,PPAs,Polyphenol-like,POCs
221.081777321595,12,14,4,0,0,0,0,0,CHO,Lignin,222.089053788475,0.698590598198501,1,21043790.0,Altamaha_PP48_000107-3_p08,6.0,2.0,0.25,0.4,0.33333,1.16667,0.0,0.0,0.0,0.0,-0.5,74.55,0.33333,222.0,0.02773,0.27178,1.50497,0.29105,0.09005,0.19941,0.15378438071803988,C12H14O4,PUCs,Lignin-like,POCs
221.118227279669,13,18,3,0,0,0,0,0,CHO,Lignin,222.125503746549,0.408316691185834,1,1786703.5,Altamaha_PP48_000107-3_p08,5.0,2.0,0.2,0.30435,0.23077,1.38462,0.0,0.0,0.0,0.0,-0.92308,86.60769,0.23077,222.0,0.01402,0.31358,1.4635,0.33286,0.13182,0.2412,0.13180488248709896,C13H18O3,PUCs,Lignin-like,Lipid
221.121584275809,10,22,3,0,0,1,0,0,CHOS,Protein,222.128860742689,0.4705368358628,1,1332559.6,Altamaha_PP48_000107-3_p08,0.0,-3.0,0.0,0.0,0.3,2.2,0.0,0.0,0.0,0.0,-1.4,100.2,0.3,222.0,0.07535,0.375,1.40257,0.39428,0.19318,0.3026,0.15752136940262312,C10H22O3S,SSCs,Aliphatic-like,Lipid
221.154593237855,14,22,2,0,0,0,0,0,CHO,Lipid,222.161869704735,0.496240262967238,1,1593681.3,Altamaha_PP48_000107-3_p08,4.0,2.0,0.16667,0.23077,0.14286,1.57143,0.0,0.0,0.0,0.0,-1.28571,96.94286,0.14286,222.0,0.05577,0.35539,1.42202,0.37467,0.1736,0.283,0.11532251307890279,C14H22O2,UAAs,Lipid-like,Lipid
222.040662223732,10,9,5,1,0,0,0,0,CHON,Lignin,223.047938690612,0.599485425181083,1,2304893.3,Altamaha_PP48_000107-3_p08,7.0,2.0,0.25,0.53846,0.5,0.9,0.1,0.0,inf,0.0,0.4,48.9,0.6,223.0,0.08159,0.21919,1.56513,0.23855,0.03669,0.14652,0.22274989570380094,C10H9O5N,PPAs,Polyphenol-like,Not Matched
222.07710018222,11,13,4,1,0,0,0,0,CHON,Lignin,223.0843766491,0.364264862719365,1,1451391.1,Altamaha_PP48_000107-3_p08,6.0,2.0,0.16667,0.375,0.36364,1.18182,0.09091,0.0,inf,0.0,-0.18182,65.48182,0.45455,223.0,0.03984,0.261,1.52365,0.28036,0.07847,0.18831,0.18265385882631247,C11H13O4N,PUCs,Lignin-like,Not Matched
222.085168173031,11,14,4,0,1,0,0,0,CHO,Lignin,223.092444639911,0.534019380668227,1,2809983.5,Altamaha_PP48_000107-3_p08,5.0,1.0,0.14286,0.33333,0.36364,1.27273,0.0,0.0,0.0,0.0,-0.54545,75.84545,0.36364,211.0,0.02504,0.25963,1.42909,0.27795,0.0869,0.19085,0.16638816558868946,C(13)11H14O4,PUCs,Lignin-like,POCs
223.024678108028,10,8,6,0,0,0,0,0,CHO,Lignin,224.031954574908,0.595515458150599,1,3325619.0,Altamaha_PP48_000107-3_p08,7.0,1.0,0.25,0.57143,0.6,0.8,0.0,0.0,0.0,0.0,0.4,48.9,0.6,224.0,0.09789,0.20422,1.58797,0.22366,0.02091,0.13122,0.2206943994483257,C10H8O6,PPAs,Polyphenol-like,POCs
223.061052066998,11,12,5,0,0,0,0,0,CHO,Lignin,224.068328533878,0.646953646586621,1,9324213.0,Altamaha_PP48_000107-3_p08,6.0,1.0,0.16667,0.41176,0.45455,1.09091,0.0,0.0,0.0,0.0,-0.18182,65.48182,0.45455,224.0,0.05614,0.24603,1.5465,0.26547,0.06269,0.17302,0.1782968531766994,C11H12O5,PUCs,Lignin-like,POCs
223.097461025943,12,16,4,0,0,0,0,0,CHO,Lignin,224.104737492823,0.542198161939658,1,6276791.0,Altamaha_PP48_000107-3_p08,5.0,1.0,0.125,0.3,0.33333,1.33333,0.0,0.0,0.0,0.0,-0.66667,79.3,0.33333,224.0,0.01438,0.28784,1.50502,0.30729,0.10446,0.21482,0.14925650750796782,C12H16O4,PUCs,Lignin-like,Lipid
