Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensity,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
217.071746569678,9,14,6,0,0,0,0,0,CHO,AminoSugar,218.079023036558,0.069449330902172,1,3240725.5,Altamaha_SW48_000107-3_p08,3.0,-3.0,0.0,0.0,0.66667,1.55556,0.0,0.0,0.0,0.0,-0.22222,66.63333,0.66667,218.0,0.05403,0.24004,1.50448,0.25897,0.06161,0.16899,0.21596510363459703,C9H14O6,UAAs,Aliphatic-like,Not Matched
217.087034559647,13,14,3,0,0,0,0,0,CHO,Lignin,218.094311026527,-0.0766220221938728,1,1633046.4,Altamaha_SW48_000107-3_p08,7.0,4.0,0.4,0.47826,0.23077,1.07692,0.0,0.0,0.0,0.0,-0.61538,77.83846,0.23077,218.0,0.01268,0.28145,1.4634,0.30038,0.10299,0.21038,0.13903480740827184,C13H14O3,PUCs,Lignin-like,POCs
217.108136545805,10,18,5,0,0,0,0,0,CHO,Protein,218.115413012685,0.0489448009349281,1,2811159.8,Altamaha_SW48_000107-3_p08,2.0,-3.0,0.0,0.0,0.5,1.8,0.0,0.0,0.0,0.0,-0.8,83.1,0.5,218.0,0.01228,0.28185,1.463,0.30078,0.10339,0.21078,0.17498611631490718,C10H18O5,UAAs,Aliphatic-like,Lipid
219.029927298306,11,8,5,0,0,0,0,0,CHO,ConHC,220.037203765186,-0.138148849242139,1,1911943.8,Altamaha_SW48_000107-3_p08,8.0,3.0,0.5,0.64706,0.45455,0.72727,0.0,0.0,0.0,0.0,0.18182,55.11818,0.45455,220.0,0.08284,0.2139,1.5464,0.23299,0.03385,0.1422,0.19153473358004708,C11H8O5,PPAs,Polyphenol-like,POCs
219.06629427495,12,12,4,0,0,0,0,0,CHO,Lignin,220.07357074183,-0.053928465086443,1,3050890.0,Altamaha_SW48_000107-3_p08,7.0,3.0,0.375,0.5,0.33333,1.0,0.0,0.0,0.0,0.0,-0.33333,69.8,0.33333,220.0,0.04108,0.25571,1.50492,0.27481,0.07563,0.184,0.1585955653254169,C12H12O4,PPAs,Polyphenol-like,POCs
220.06150563937,11,11,4,1,0,0,0,0,CHON,Lignin,221.06878210625,0.116436387266623,1,1147590.0,Altamaha_SW48_000107-3_p08,7.0,3.0,0.33333,0.5,0.36364,1.0,0.09091,0.0,inf,0.0,0.0,60.3,0.45455,221.0,0.05319,0.24494,1.5236,0.26412,0.06405,0.1729,0.1859967890011518,C11H11O4N,PPAs,Polyphenol-like,Not Matched
221.00915004059,10,6,6,0,0,0,0,0,CHO,ConHC,222.01642650747,0.0514274103280654,1,1675777.0,Altamaha_SW48_000107-3_p08,8.0,2.0,0.5,0.71429,0.6,0.6,0.0,0.0,0.0,0.0,0.6,43.2,0.6,222.0,0.11124,0.18816,1.58792,0.20742,0.00649,0.11581,0.23073968680871354,C10H6O6,PAs,Cond. aromatic-like,POCs
221.045553017713,11,10,5,0,0,0,0,0,CHO,Lignin,222.052829484593,-0.0272596980094225,1,4727299.5,Altamaha_SW48_000107-3_p08,7.0,2.0,0.33333,0.52941,0.45455,0.90909,0.0,0.0,0.0,0.0,0.0,60.3,0.45455,222.0,0.06949,0.22997,1.54645,0.24923,0.04827,0.15761,0.18456145058063844,C11H10O5,PPAs,Polyphenol-like,POCs
221.08191699487,12,14,4,0,0,0,0,0,CHO,Lignin,222.08919346175,0.0696839410512408,1,15821830.0,Altamaha_SW48_000107-3_p08,6.0,2.0,0.25,0.4,0.33333,1.16667,0.0,0.0,0.0,0.0,-0.5,74.55,0.33333,222.0,0.02773,0.27178,1.50497,0.29105,0.09005,0.19941,0.15378438071803988,C12H14O4,PUCs,Lignin-like,POCs
221.154726949159,14,22,2,0,0,0,0,0,CHO,Lipid,222.162003416039,-0.105623998123295,1,1733130.3,Altamaha_SW48_000107-3_p08,4.0,2.0,0.16667,0.23077,0.14286,1.57143,0.0,0.0,0.0,0.0,-1.28571,96.94286,0.14286,222.0,0.05577,0.35539,1.42202,0.37467,0.1736,0.283,0.11532251307890279,C14H22O2,UAAs,Lipid-like,Lipid
