Molecular formula,Altamaha_SW48_000107-4_p08
C12H17O9N,2629279.5
C16H17O6N,1410724.6
C13H21O8N,2658475.8
C17H21O5N,1321904.8
C14H8O9,4415958.5
C15H12O8,21714402.0
C12H16O8S,3447267.5
C14H12O7N2,1444326.3
C12H16O10,5134825.5
C16H16O7,22091246.0
C13H20O7S,2064879.9
C15H16O6N2,3021298.5
C13H20O9,2773493.8
C17H20O6,17094138.0
C18H24O5,12846599.0
C19H28O4,1329683.3
C17H36O3S,1860640.6
C14H11O8N,3267888.5
C11H15O10N,1726263.8
C15H15O7N,4717373.0
C12H19O9N,2655044.0
C16H19O6N,2861385.0
C13H23O8N,2402128.3
C16H35O5N,4230005.0
C14H10O9,16423035.0
C11H14O9S,1356924.5
C15H14O8,36546696.0
C12H18O8S,2387080.8
C14H14O7N2,3331723.3
C16H18O7,35760276.0
C15H18O6N2,2347159.5
C17H22O6,22419616.0
C18H26O5,6160556.5
C13H9O9N,1325514.3
C14H13O8N,5884374.5
C11H17O10N,1801181.6
C15H17O7N,5688802.5
C12H21O9N,1370089.9
C16H21O6N,2344943.0
C13H8O10,3051797.8
C14H12O7S,2202396.0
C14H12O9,36866848.0
C13H12O8N2,1949477.8
C15H16O6S,1914664.3
C15H16O8,60836656.0
C14H16O7N2,3655474.0
C16H20O7,58903356.0
C15H20O6N2,1890622.4
C17H24O6,20564806.0
C18H28O3S,1882701.1
C18H28O5,2816851.0
C15H32O5S,1624660.1
C13H11O9N,2320497.8
C14H15O8N,6191230.0
C15H19O7N,4689034.5
C16H23O6N,1503638.6
C13H10O8S,1663928.1
C13H10O10,9897406.0
C17H10O7,2498499.3
C14H14O7S,3294148.5
C14H14O9,53153228.0
C13H14O8N2,1987022.4
C18H14O6,2333647.8
C15H18O6S,2197968.8
C15H18O8,78941656.0
C14H18O7N2,2570202.5
C16H22O5S,2438621.0
C16H22O7,40496612.0
C17H26O6,8615407.0
C18H30O3S,96374264.0
C13H13O9N,3894555.3
C14H17O8N,5732135.5
C15H21O7N,2381620.0
C16H8O8,1900129.6
C13H12O8S,2932834.8
C13H12O10,20521064.0
C17H12O7,4108397.8
C14H16O7S,3295343.0
C14H16O9,64753780.0
C13H16O8N2,1752184.9
