molecular formula,Altamaha_SW48_000107-3_p08
C12H16O7S,2424336.5
C14H12O6N2,1576978.9
C12H16O9,12259350.0
C16H16O6,10557467.0
C13H20O6S,2135067.8
C15H16O5N2,1434142.4
C13H20O8,7611425.5
C17H20O5,6451238.0
C14H24O7,2462252.8
C18H24O4,1901617.6
C15H28O6,1369912.3
C14H11O7N,3019591.8
C11H15O9N,1805646.5
C15H15O6N,2522963.3
C12H19O8N,2218330.0
C13H23O7N,1364325.4
C14H10O8,11397758.0
C11H14O8S,1932415.0
C11H14O10,1567364.6
C15H14O7,20781706.0
C12H18O7S,2176650.5
C14H14O6N2,1905293.0
C12H18O9,2535568.0
C16H18O6,17435284.0
C13H22O8,1369243.6
C17H22O5,8759968.0
C18H26O4,1812139.9
C16H34O3S,1801144.4
C14H13O7N,4505540.5
C11H17O9N,1650635.0
C15H17O6N,2558928.0
C12H21O8N,1732054.6
C13H8O9,3011825.5
C14H12O8,21445886.0
C11H16O8S,1584638.0
C13H12O7N2,1381376.6
C15H16O7,29314312.0
C14H16O6N2,2816780.3
C16H20O6,23305492.0
C17H24O5,7507232.0
C14H28O5S,1955616.9
C15H32O4S,4560172.5
C13H11O8N,2246714.8
C14H15O7N,4960838.5
C15H19O6N,2406994.0
C13H10O9,9510774.0
C14H14O6S,1486460.3
C14H14O8,29781890.0
C13H14O7N2,2536837.5
C15H18O5S,1454215.9
C15H18O7,41430924.0
C12H22O7S,5749646.5
C14H18O6N2,2197905.3
C16H22O6,19668890.0
C17H26O5,5021605.0
C14H30O5S,9578406.0
C13H13O8N,3450050.8
C14H17O7N,3861710.5
C16H8O7,1313018.5
C13H12O7S,1929723.6
C13H12O9,18129410.0
C17H12O6,1990918.3
C14H16O6S,2190855.5
C14H16O8,44208652.0
C15H20O5S,2812947.3
C15H20O7,43168280.0
C16H24O6,10938917.0
C17H28O3S,140735024.0
C13H15O8N,4077393.3
C14H19O7N,1920605.3
C12H10O10,2717319.8
C16H10O7,2489484.8
C13H14O7S,2761869.8
C13H14O9,28320916.0
C17H14O6,2038936.6
C14H18O6S,2692761.8
C14H18O8,41612448.0
C18H18O5,1799844.5
C15H22O5S,2022565.6
C15H22O7,19805356.0
C16H26O6,2853047.5
C18H34O4,2064079.4
C12H13O9N,1499611.4
C13H17O8N,2814951.5
C14H21O7N,1602803.4
C15H8O8,2001690.4
C12H12O8S,2424603.5
C12H12O10,9977633.0
C16H12O7,4779814.5
C13H16O7S,3937063.8
C13H16O9,32536366.0
C17H16O6,5365554.5
C14H20O6S,2114355.8
C14H20O8,24307514.0
C18H20O5,3256126.8
C15H24O7,7540550.0
C16H28O6,1823569.9
C15H11O7N,1482098.3
C12H15O9N,2245753.5
C16H15O6N,1520766.5
C13H19O8N,2675845.5
C15H10O8,6635964.5
C12H14O8S,2591165.5
C12H14O10,9978308.0
C16H14O7,11721161.0
C13H18O7S,3476937.8
C13H18O9,13238736.0
C17H18O6,10107349.0
C14H22O6S,1672662.0
C14H22O8,6765020.0
C18H22O5,6947297.0
C15H26O7,2231784.3
C19H26O4,1866733.5
C16H34O4N2,4151812.5
C14H9O8N,1974540.5
C15H13O7N,2829592.8
C12H17O9N,2797856.0
C16H17O6N,2409765.3
C13H21O8N,3297068.3
C16H33O5N,2175057.3
C14H8O9,2916955.0
C15H12O8,16387175.0
C12H16O8S,1737832.6
C14H12O7N2,1728107.3
C12H16O10,4037742.8
C16H16O7,19221620.0
C13H20O7S,2239605.0
C15H16O6N2,2696311.8
C13H20O9,3011707.0
C17H20O6,15645824.0
C18H24O5,13466765.0
C14H11O8N,3136444.3
C15H15O7N,3922376.8
C12H19O9N,2534864.0
C16H19O6N,2407381.3
C13H23O8N,1825756.4
C16H35O5N,16047618.0
C14H10O9,11017999.0
C15H14O8,29237020.0
C12H18O8S,2286365.3
C14H14O7N2,2747679.8
C16H18O7,32456488.0
C15H18O6N2,2458412.5
C17H22O6,22912822.0
C18H26O5,6147906.0
C16H34O4S,2687823.5
C10H13O11N,1358192.4
C14H13O8N,4635765.5
C11H17O10N,1906813.1
C15H17O7N,4698242.5
C12H21O9N,2143881.8
C16H21O6N,1876879.0
C13H8O10,1847233.3
C14H12O7S,1791431.8
C14H12O9,26128846.0
C18H12O6,1372115.4
C15H16O6S,1879508.5
C15H16O8,49381852.0
C14H16O7N2,3291102.8
C16H20O7,53608936.0
C15H20O6N2,1981419.5
C17H24O6,18665972.0
