molecular formula,Altamaha_PP48_000107-3_p08
C17H25O6N,1506463.1
C14H12O8S,4364749.5
C14H12O10,28610004.0
C13H12O9N2,1716951.8
C18H12O7,3259865.0
C15H16O7S,4184538.3
C15H16O9,83205600.0
C14H16O8N2,4521444.5
C16H20O8,105258480.0
C15H20O7N2,3325937.5
C17H24O7,44424700.0
C18H28O6,7204359.5
C19H32O3S,10151438.0
C13H11O8NS,1453616.0
C17H11O7N,1890107.8
C14H15O7NS,1578556.9
C14H15O9N,9082691.0
C15H19O8N,8116048.5
C14H19O7N3,1566548.3
C16H23O7N,2973021.5
C20H27O2N3,2382196.0
C13H10O9S,1879698.0
C13H10O11,2972824.5
C17H10O8,4445342.0
C14H14O8S,4791455.0
C14H14O10,51994788.0
C18H14O7,5140651.0
C15H18O7S,4835500.5
C15H18O9,101212336.0
C14H18O8N2,3359414.8
C19H18O6,4476088.0
C16H22O6S,2429113.5
C16H22O8,65904832.0
C15H22O7N2,1770692.0
C20H22O5,2113221.5
C17H26O7,16724173.0
C18H30O6,2686682.3
C16H9O8N,1720071.8
C13H13O10N,2966031.5
C17H13O7N,2362389.0
C14H17O9N,7450140.5
C15H21O8N,5045802.0
C16H8O9,1586288.9
C13H12O9S,3120498.0
C13H12O11,10527609.0
C24H8O3,1734012.1
C17H12O8,9225086.0
C14H16O8S,4922239.5
C14H16O10,55403400.0
C18H16O7,10044300.0
C15H20O7S,5778317.0
C15H20O9,54805396.0
C26H16O,2637719.0
C19H20O6,7079833.0
C16H24O8,21177248.0
C20H24O5,3936166.5
C17H28O7,3254702.3
C16H11O8N,3523311.0
C13H15O8NS,1473520.3
C13H15O10N,3727607.0
C17H15O7N,3175164.5
C14H19O9N,6587652.5
C18H19O6N,1675530.1
C15H23O8N,3959058.0
C16H10O9,7435871.0
C13H14O9S,4029024.3
C13H14O11,13434471.0
C24H10O3,3137642.5
C17H14O8,18052716.0
C14H18O8S,5115502.0
C16H14O7N2,3598961.0
C14H18O10,27018868.0
C18H18O7,17475194.0
C15H22O7S,5940859.5
C17H18O6N2,2331262.8
C15H22O9,17172098.0
C19H22O6,13110920.0
C16H26O8,11617936.0
C20H26O5,5574293.5
C15H9O9N,1681878.3
C16H13O8N,5207012.0
C15H13O7N3,1791720.4
C13H17O10N,4339692.0
C17H17O7N,4515826.0
C14H21O9N,4726778.0
C18H21O6N,2090495.6
C15H25O8N,2413063.8
C23H8O4,1981272.3
C16H12O9,19691866.0
C13H16O9S,2941787.8
C15H12O8N2,2517342.8
C13H16O11,5629282.5
C24H12O3,6662502.0
C17H16O8,26536296.0
C14H20O8S,4626793.5
C16H16O7N2,5074284.5
C14H20O10,6024560.5
C18H20O7,26098038.0
C15H24O7S,4375927.5
C17H20O6N2,2426746.5
C15H24O9,3255678.3
C26H20O,3605890.0
C19H24O6,16673156.0
C20H28O5,6115730.0
C15H11O9N,3455704.0
C12H15O11N,1434080.3
C16H15O8N,6486758.0
C13H19O10N,5268206.5
C17H19O7N,3911412.3
C14H23O9N,3030780.3
C18H23O6N,2214658.3
C15H10O10,7791700.5
C23H10O4,3059296.5
C16H14O9,31628386.0
C13H18O9S,2804836.0
C15H14O8N2,4424807.0
C17H18O8,37997680.0
C14H22O8S,2854514.0
C16H18O7N2,3955829.0
C14H22O10,2066552.9
C25H18O2,4822140.5
C18H22O7,37162112.0
C15H26O7S,2140288.3
C19H26O6,17894540.0
C20H30O5,3526811.3
C15H13O9N,5694950.5
C12H17O11N,2029550.6
C16H17O8N,6780404.5
C13H21O10N,3152893.0
C17H21O7N,4048386.8
C15H12O8S,2499425.8
C15H12O10,22810472.0
C16H16O7S,2706800.0
C23H12O4,3965812.8
C16H16O9,49172344.0
C15H16O8N2,5295995.5
C24H16O3,6121347.0
C17H20O8,63434628.0
C16H20O7N2,3551625.8
C18H24O7,41963412.0
C19H28O6,10981282.0
C20H32O5,1877680.4
C14H11O10N,2629874.0
C15H15O9N,7459072.5
C16H19O8N,5720335.0
C17H23O7N,2876189.5
C14H10O9S,2182258.5
C14H10O11,3764345.8
C18H10O8,2079359.8
C15H14O8S,4293249.0
C15H14O10,43979400.0
C16H18O9,77574808.0
C15H18O8N2,4773531.5
C17H22O8,74298024.0
C16H22O7N2,1997225.8
C18H26O7,25236148.0
C19H30O6,4403906.5
C14H13O10N,4101143.0
C15H17O9N,8723494.0
C16H21O8N,5393460.5
C17H25O7N,2467395.0
C17H8O9,1814939.4
C14H12O9S,3621276.8
C14H12O11,16184740.0
C18H12O8,5622186.0
C15H16O8S,5376427.5
C15H16O10,73528752.0
C14H16O9N2,2348471.3
C19H16O7,4590009.0
C16H20O7S,3652026.3
C16H20O9,92861888.0
C15H20O8N2,3003334.0
C20H20O6,3435463.5
C17H24O8,44742096.0
C21H24O5,1863638.3
C18H28O7,9174495.0
C17H11O8N,2801982.0
C14H15O10N,5790534.5
C18H15O7N,2367309.0
C15H19O9N,8550229.0
C16H23O8N,5579620.5
C17H27O7N,3019123.0
C17H10O9,5549264.0
C14H14O9S,5164241.0
C14H14O11,33437912.0
C18H14O8,12171487.0
C15H18O8S,6276320.0
C15H18O10,69646568.0
C26H14O2,4074731.3
C19H18O7,9820398.0
C16H22O7S,3444975.0
C16H22O9,50264312.0
C20H22O6,6947068.5
C17H26O8,15845637.0
C21H26O5,2185483.5
C18H30O7,2560788.3
C16H9O9N,1497192.5
C13H13O11N,1522801.1
C17H13O8N,4877943.5
C14H17O10N,5636736.0
C18H17O7N,3143302.5
C15H21O9N,7572111.0
C16H25O8N,3880606.0
C13H12O10S,1896448.1
C13H12O12,3783175.5
C17H12O9,14695438.0
C14H16O9S,5575695.5
C14H16O11,27425814.0
C18H16O8,19323932.0
C15H20O8S,6629406.5
C17H16O7N2,3553313.8
C15H20O10,31390758.0
C12H24O10S,2064423.0
C19H20O7,19033132.0
C16H24O7S,2670637.3
C16H24O9,14933045.0
C27H20O,5270584.5
C20H24O6,11666491.0
C17H28O8,3499075.8
C21H28O5,2266186.0
