Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Intensities,sample,DBE,DBEO,AI,AImod,O_C,H_C,N_C,P_C,N_P,P_N,NOSC,GFE,PI,nkm,KD-CH2,KD-CO2,KD-H2,KD-O2,KD-H2O,KD-CHO,Ymet,molecular formula,outline,specifics,MSCC
513.080597371408,21,23,13,0,0,0,1,0,CHOP,Lignin,514.087873838288,-0.479495239821814,-1,2904399.0,Altamaha_SW48_000107-4_p08,11.0,-2.0,0.0,0.25926,0.61905,1.09524,0.0,0.04762,0.0,inf,-0.09524,63.01429,0.61905,514.0,0.23252,0.46071,3.65168,0.50532,0.04009,0.29321,0.09411923494363127,C21H23O13P,PUCs,Lignin-like,POCs
513.088598837391,21,22,15,0,0,0,0,0,CHO,Tannin,514.095875304271,-0.0102443367975537,-1,11021649.0,Altamaha_SW48_000107-4_p08,11.0,-4.0,0.0,0.25926,0.71429,1.04762,0.0,0.0,0.0,0.0,0.38095,49.44286,0.71429,514.0,0.21614,0.47711,3.6354,0.52172,0.05648,0.30961,0.10465863501408232,C21H22O15,PUCs,Tannin-like,POCs
513.103854971532,25,22,12,0,0,0,0,0,CHO,Lignin,514.111131438412,-0.010244890352151,-1,6223187.5,Altamaha_SW48_000107-4_p08,15.0,3.0,0.23077,0.47368,0.48,0.88,0.0,0.0,0.0,0.0,0.08,58.02,0.48,514.0,0.17478,0.51852,3.59432,0.56313,0.09785,0.351,0.08252909318065092,C25H22O12,PUCs,Lignin-like,POCs
513.11711608861,22,27,12,0,0,0,1,0,CHOP,Lignin,514.12439255549,-0.738563654834047,-1,4417878.5,Altamaha_SW48_000107-4_p08,10.0,-2.0,0.0,0.2,0.54545,1.22727,0.0,0.04545,0.0,inf,-0.36364,70.66364,0.54545,514.0,0.19077,0.50252,3.6102,0.54713,0.08186,0.335,0.08540306129294717,C22H27O12P,PUCs,Lignin-like,POCs
513.124984344742,22,26,14,0,0,0,0,0,CHO,Lignin,514.132260811622,-0.0102456556450583,-1,11812184.0,Altamaha_SW48_000107-4_p08,10.0,-4.0,0.0,0.2,0.63636,1.18182,0.0,0.0,0.0,0.0,0.09091,57.70909,0.63636,514.0,0.17438,0.51892,3.59393,0.56353,0.09825,0.3514,0.09399172274241023,C22H26O14,PUCs,Lignin-like,POCs
513.140240478882,26,26,11,0,0,0,0,0,CHO,Lignin,514.147516945762,-0.0102462071312932,-1,5434715.0,Altamaha_SW48_000107-4_p08,14.0,3.0,0.2,0.41463,0.42308,1.0,0.0,0.0,0.0,0.0,-0.15385,64.68462,0.42308,514.0,0.13303,0.56033,3.55285,0.60495,0.13963,0.3928,0.0757501124074316,C26H26O11,PUCs,Lignin-like,POCs
513.153346280423,23,31,11,0,0,0,1,0,CHOP,Lignin,514.160622747303,-0.436437746111371,-1,6767966.0,Altamaha_SW48_000107-4_p08,9.0,-2.0,0.0,0.15152,0.47826,1.34783,0.0,0.04348,0.0,inf,-0.6087,77.64783,0.47826,514.0,0.14901,0.54433,3.56872,0.58894,0.12364,0.3768,0.07816442702577614,C23H31O11P,PUCs,Lignin-like,Lipid
513.16136985209,23,30,13,0,0,0,0,0,CHO,Lignin,514.16864631897,-0.0102469687782028,-1,9301344.0,Altamaha_SW48_000107-4_p08,9.0,-4.0,0.0,0.15152,0.56522,1.30435,0.0,0.0,0.0,0.0,-0.17391,65.25652,0.56522,514.0,0.13263,0.56073,3.55245,0.60535,0.14003,0.3932,0.08533272242456061,C23H30O13,PUCs,Lignin-like,POCs
513.176625986229,27,30,10,0,0,0,0,0,CHO,Lignin,514.183902453109,-0.010247517533233,-1,3789154.8,Altamaha_SW48_000107-4_p08,13.0,3.0,0.17647,0.36364,0.37037,1.11111,0.0,0.0,0.0,0.0,-0.37037,70.85556,0.37037,514.0,0.09128,0.60214,3.51137,0.64676,0.1814,0.43459,0.07000025651148628,C27H30O10,PUCs,Lignin-like,POCs
513.189825983249,24,35,10,0,0,0,1,0,CHOP,Lignin,514.197102450129,-0.619598258290861,-1,7480677.5,Altamaha_SW48_000107-4_p08,8.0,-2.0,0.0,0.11111,0.41667,1.45833,0.0,0.04167,0.0,inf,-0.83333,84.05,0.41667,514.0,0.10726,0.58614,3.52725,0.63076,0.16541,0.4186,0.07205698591600714,C24H35O10P,PUCs,Lignin-like,Lipid
